GAME_ID,TEAM_ABBREVIATION_HOME,WL_HOME,MIN_HOME,FGA_HOME,FG3A_HOME,FTA_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,TEAM_ABBREVIATION_AWAY,FGA_AWAY,FG3A_AWAY,FTA_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY
29000411,ATL,1,265,89,9,38,58,23,3,9,16,19,MIN,103,9,29,41,22,11,6,6,25
29000405,ORL,0,240,94,10,40,44,17,6,2,9,14,SAN,93,7,17,56,28,8,14,15,28
29000409,DEN,0,240,126,10,25,73,19,10,3,15,26,PHL,91,6,39,56,24,4,7,18,22
29000417,LAL,1,240,94,5,29,59,42,5,4,20,18,GOS,99,12,31,33,16,15,1,10,20
29000418,NYK,1,240,76,2,32,42,26,10,6,18,17,LAC,88,6,9,42,29,12,8,19,27
29000415,BOS,1,240,91,9,30,44,34,13,9,14,23,DAL,85,5,32,36,26,5,3,17,25
29000416,POR,1,240,78,15,35,36,29,7,6,10,19,SEA,89,12,28,44,28,7,7,13,24
29000421,PHL,0,265,95,10,22,42,26,12,4,13,25,SAN,85,7,29,52,27,8,6,19,20
29000422,NJN,0,265,94,8,32,51,15,9,6,17,24,DAL,87,5,21,50,12,10,9,20,26
29000419,ORL,1,240,80,7,32,49,28,10,6,15,21,SAC,90,7,20,38,19,6,6,13,26
29000420,MIN,0,240,94,3,31,41,22,5,9,9,22,PHX,100,6,30,52,37,4,11,8,25
29000427,GOS,1,240,91,11,48,43,31,11,6,18,16,DEN,113,13,20,47,34,10,6,21,40
29000429,CHI,1,240,98,3,15,43,32,14,11,16,17,NJN,90,4,17,46,32,12,5,18,16
29000423,NYK,0,240,89,7,22,42,28,6,6,16,22,BOS,78,0,27,44,19,10,7,13,20
29000431,HOU,0,240,91,9,29,39,17,9,8,17,17,POR,99,8,16,59,33,7,2,18,26
29000425,MIA,1,240,70,1,30,44,21,6,5,15,26,SAC,69,3,35,29,13,5,6,14,30
29000430,UTH,1,240,80,3,29,42,32,11,7,14,16,CLE,90,9,21,43,16,8,1,16,23
29000428,MIL,1,240,79,4,23,29,24,15,5,17,23,WAS,81,2,21,44,27,5,8,20,23
29000432,IND,0,240,91,7,23,44,31,8,5,17,26,LAC,89,4,33,41,28,8,3,13,21
29000424,ATL,1,240,83,9,33,44,28,11,8,12,20,SAN,82,10,28,45,23,10,5,17,27
29000426,CHH,0,240,79,6,30,32,24,5,0,9,25,DET,74,5,33,41,25,4,4,15,25
29000433,SEA,1,240,85,6,9,41,26,6,3,14,14,LAL,74,13,15,23,17,7,3,15,11
29000438,PHL,0,240,72,6,26,34,20,3,6,14,19,CHI,83,2,23,37,28,6,2,7,20
29000435,LAL,1,240,92,13,21,52,32,10,8,12,12,UTH,83,5,16,40,22,8,2,17,20
29000436,PHX,1,240,88,1,41,42,23,7,7,7,18,CLE,96,4,21,51,26,4,7,14,27
29000439,BOS,1,240,85,3,37,52,22,9,11,12,14,MIL,103,16,18,51,20,7,3,11,29
29000437,ORL,0,240,89,9,40,41,17,4,2,13,26,MIN,89,3,36,53,23,9,9,12,28
29000434,DAL,1,240,87,7,35,43,27,2,10,6,20,POR,97,15,28,60,21,5,5,13,28
29000445,SAN,1,240,74,5,46,38,32,7,12,15,24,ORL,99,8,27,42,20,9,2,12,31
29000442,NYK,0,240,91,4,37,44,18,7,7,11,22,IND,90,9,27,41,32,7,2,15,24
29000441,DEN,0,240,127,21,19,50,23,13,6,14,33,HOU,102,13,42,53,34,9,9,22,16
29000440,CHH,1,240,70,2,30,43,26,12,6,14,16,SAC,74,8,20,39,12,5,4,22,24
29000444,SEA,0,240,93,8,21,48,24,7,2,15,24,GOS,79,8,29,38,23,6,5,16,25
